Lon2,Lat2,count
-6.33186,53.32161,5043
-6.24654,53.33242,2858
-6.15408,53.28841,2390
-6.32922,53.27198,2319
-6.15217,53.40257,2120
-6.19375,53.23592,2118
-6.21695,53.30687,1846
-6.26014,53.35318,1742
-6.25115,53.3394,1657
-6.23426,53.34535,975
-6.47446,53.29825,953
-6.25779,53.34914,849
-6.30692,53.41827,756
-6.25515,53.34681,709
-6.22855,53.36886,696
-6.12872,53.2465,684
-6.29644,53.35044,679
-6.37401,53.2859,671
-6.21584,53.33151,601
-6.37813,53.41922,562
-6.21438,53.38583,561
-6.26599,53.39743,542
-6.22977,53.35452,512
-6.10146,53.20499,461
-6.2193,53.26172,436
-6.21813,53.27791,432
-6.42685,53.29034,407
-6.4181,53.41961,391
-6.30856,53.31649,385
-6.31249,53.37361,380
-6.11849,53.50003,378
-6.11918,53.20542,373
-6.29879,53.38903,367
-6.32601,53.27111,367
-6.32256,53.27177,352
-6.24787,53.27179,345
-6.40483,53.35048,330
-6.17149,53.4019,325
-6.26002,53.34661,310
-6.24575,53.29251,299
-6.27553,53.38651,297
-6.39575,53.35298,294
-6.33144,53.37754,293
-6.09449,53.37434,251
-6.17186,53.29966,236
-6.32585,53.29819,232
-6.24309,53.42869,229
-6.39564,53.39483,221
-6.33462,53.30656,212
-6.45087,53.33014,205
-6.2637,53.3523,201
-6.05862,53.37246,201
-6.26182,53.39116,195
-6.43363,53.39117,190
-6.11692,53.57586,184
-6.24771,53.46002,177
-6.12911,53.18588,176
